id,label,category,link,emoji,
n-089,measurementTypeID,Vocab Term,,,
n-090,measurementUnitID,Vocab Term,,,
n-091,measurementValueID,Vocab Term,,,
n-094,Sphere S21,Text Only,https://vocab.nerc.ac.uk/search_nvs/S21/,,
n-095,Sphere sub-group S22,Text Only,https://vocab.nerc.ac.uk/search_nvs/S22/,,
n-096,Phase S23,Text Only,https://vocab.nerc.ac.uk/search_nvs/S23/,,
n-097,Phase sub-group  S24,Text Only,,,
,,,,,
,,,,,
,,,,,
